,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates
10,Feature,us7000nniq,4.7,"176 km ESE of Biak, Indonesia",1730062698623,1730063931040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nniq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nniq&format=geojson,,,,,reviewed,0,340,us,7000nniq,",us7000nniq,",",us,",",origin,phase-data,",25.0,3.292,0.8,71.0,mww,earthquake,"M 4.7 - 176 km ESE of Biak, Indonesia",Point,"[137.452, -1.9776, 23.808]"
11,Feature,ak024du4wxa7,2.4,North Pacific Ocean,1730061452395,1730062454263,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du4wxa7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du4wxa7&format=geojson,,,,,automatic,0,89,ak,024du4wxa7,",ak024du4wxa7,",",ak,",",origin,phase-data,",,,0.6,,ml,earthquake,M 2.4 - North Pacific Ocean,Point,"[-140.9182, 44.6167, 9.4]"
12,Feature,hv74515487,1.84000003,"14 km ESE of Pāhala, Hawaii",1730061284790,1730061402310,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515487,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515487&format=geojson,,,,,automatic,0,52,hv,74515487,",hv74515487,",",hv,",",origin,phase-data,",39.0,0.1004,0.119999997,223.0,md,earthquake,"M 1.8 - 14 km ESE of Pāhala, Hawaii",Point,"[-155.358001708984, 19.1356658935547, 28.2399997711182]"
13,Feature,pr71463828,3.32,"95 km NNE of Cruz Bay, U.S. Virgin Islands",1730061226280,1730064140210,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71463828,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71463828&format=geojson,,,,,reviewed,0,170,pr,71463828,",pr71463828,",",pr,",",origin,phase-data,",15.0,0.7475,0.23,298.0,md,earthquake,"M 3.3 - 95 km NNE of Cruz Bay, U.S. Virgin Islands",Point,"[-64.5865, 19.171, 25.36]"
14,Feature,ci40965856,0.8,"12 km NW of Warner Springs, CA",1730061160750,1730061522094,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965856&format=geojson,,,,,automatic,0,10,ci,40965856,",ci40965856,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.1084,0.16,29.0,ml,earthquake,"M 0.8 - 12 km NW of Warner Springs, CA",Point,"[-116.7336667, 33.3438333, 15.1]"
15,Feature,nc75079851,1.02,"6 km WNW of Cobb, CA",1730060748270,1730061738826,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079851,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079851&format=geojson,,,,,automatic,0,16,nc,75079851,",nc75079851,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.003759,0.02,69.0,md,earthquake,"M 1.0 - 6 km WNW of Cobb, CA",Point,"[-122.788833618164, 38.8348350524902, 1.92999994754791]"
16,Feature,hv74515472,2.06999993,"5 km SSW of Pāhala, Hawaii",1730060742430,1730060845420,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515472&format=geojson,,,,,automatic,0,66,hv,74515472,",hv74515472,",",hv,",",origin,phase-data,",24.0,0.03843,0.129999995,215.0,md,earthquake,"M 2.1 - 5 km SSW of Pāhala, Hawaii",Point,"[-155.502502441406, 19.1598339080811, 30.8700008392334]"
17,Feature,ci40965848,1.17,"16 km S of Twentynine Palms, CA",1730060649250,1730061029285,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965848,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965848&format=geojson,,,,,automatic,0,21,ci,40965848,",ci40965848,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",43.0,0.04234,0.18,36.0,ml,earthquake,"M 1.2 - 16 km S of Twentynine Palms, CA",Point,"[-116.0491667, 34.0006667, 9.48]"
18,Feature,ak024du4p3bm,1.3,"3 km SSE of Point MacKenzie, Alaska",1730059488189,1730059597935,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du4p3bm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du4p3bm&format=geojson,,,,,automatic,0,26,ak,024du4p3bm,",ak024du4p3bm,",",ak,",",origin,phase-data,",,,0.57,,ml,earthquake,"M 1.3 - 3 km SSE of Point MacKenzie, Alaska",Point,"[-149.963, 61.3277, 16.4]"
19,Feature,ak024du4cok0,1.8,"48 km NNE of Chenega, Alaska",1730058418082,1730058557009,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du4cok0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du4cok0&format=geojson,,,,,automatic,0,50,ak,024du4cok0,",ak024du4cok0,",",ak,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 1.8 - 48 km NNE of Chenega, Alaska",Point,"[-147.589, 60.4454, 15]"
20,Feature,nc75079831,2.02,"4 km SE of Cholame, CA",1730058284790,1730058736454,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079831,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079831&format=geojson,,,,,automatic,0,63,nc,75079831,",nc75079831,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.03137,0.11,59.0,md,earthquake,"M 2.0 - 4 km SE of Cholame, CA",Point,"[-120.256332397461, 35.6996650695801, 8.02000045776367]"
21,Feature,hv74515452,1.92999995,"9 km NE of Pāhala, Hawaii",1730057839920,1730057929560,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515452,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515452&format=geojson,,,,,automatic,0,57,hv,74515452,",hv74515452,",",hv,",",origin,phase-data,",28.0,0.0323,0.140000001,99.0,md,earthquake,"M 1.9 - 9 km NE of Pāhala, Hawaii",Point,"[-155.412170410156, 19.2668342590332, -0.270000010728836]"
22,Feature,ak024du49tai,1.7,"45 km W of Nanwalek, Alaska",1730057599783,1730057677120,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du49tai,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du49tai&format=geojson,,,,,automatic,0,44,ak,024du49tai,",ak024du49tai,",",ak,",",origin,phase-data,",,,0.29,,ml,earthquake,"M 1.7 - 45 km W of Nanwalek, Alaska",Point,"[-152.715, 59.3799, 71]"
23,Feature,ci40965832,0.85,"15 km N of Borrego Springs, CA",1730057077820,1730060164354,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965832,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965832&format=geojson,,,,,reviewed,0,11,ci,40965832,",ci40965832,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",42.0,0.04692,0.19,47.0,ml,earthquake,"M 0.9 - 15 km N of Borrego Springs, CA",Point,"[-116.3525, 33.3926667, 5.66]"
24,Feature,hv74515432,1.70000005,"9 km S of Volcano, Hawaii",1730056957220,1730057063860,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515432&format=geojson,,,,,automatic,0,44,hv,74515432,",hv74515432,",",hv,",",origin,phase-data,",46.0,0.01836,0.119999997,54.0,md,earthquake,"M 1.7 - 9 km S of Volcano, Hawaii",Point,"[-155.228668212891, 19.3589992523193, 29.1100006103516]"
25,Feature,ak024du44b71,1.0,"20 km E of Beluga, Alaska",1730056082891,1730065309835,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du44b71,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du44b71&format=geojson,,,,,reviewed,0,15,ak,024du44b71,",ak024du44b71,",",ak,",",origin,phase-data,",,,0.72,,ml,earthquake,"M 1.0 - 20 km E of Beluga, Alaska",Point,"[-150.7063, 61.1381, 20]"
26,Feature,tx2024vdof,2.3,"52 km W of Mentone, Texas",1730054937176,1730055954002,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024vdof,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024vdof&format=geojson,,,,,automatic,0,81,tx,2024vdof,",tx2024vdof,",",tx,",",origin,phase-data,",19.0,0.1,0.6,147.0,ml,earthquake,"M 2.3 - 52 km W of Mentone, Texas",Point,"[-104.154, 31.691, 6.185]"
27,Feature,hv74515392,1.72,"13 km S of Volcano, Hawaii",1730054734370,1730054907800,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515392,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515392&format=geojson,,,,,automatic,0,46,hv,74515392,",hv74515392,",",hv,",",origin,phase-data,",37.0,0.0389,0.270000011,82.0,ml,earthquake,"M 1.7 - 13 km S of Volcano, Hawaii",Point,"[-155.214660644531, 19.3191661834717, 1.74000000953674]"
28,Feature,us7000nnia,4.4,"203 km SW of Puerto Cortés, Costa Rica",1730054697370,1730059070040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nnia,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nnia&format=geojson,,,,,reviewed,0,298,us,7000nnia,",us7000nnia,",",us,",",origin,phase-data,",30.0,1.661,0.49,175.0,mb,earthquake,"M 4.4 - 203 km SW of Puerto Cortés, Costa Rica",Point,"[-84.8058, 7.6372, 10]"
29,Feature,ak024du3qtfg,1.7,"58 km WNW of Ninilchik, Alaska",1730054696929,1730054842414,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du3qtfg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du3qtfg&format=geojson,,,,,automatic,0,44,ak,024du3qtfg,",ak024du3qtfg,",",ak,",",origin,phase-data,",,,0.61,,ml,earthquake,"M 1.7 - 58 km WNW of Ninilchik, Alaska",Point,"[-152.6664, 60.2238, 104.3]"
30,Feature,nc75079811,1.39,"8 km SSW of Ridgemark, CA",1730054398360,1730055435052,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079811,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079811&format=geojson,,,,,automatic,0,30,nc,75079811,",nc75079811,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.05732,0.1,155.0,md,earthquake,"M 1.4 - 8 km SSW of Ridgemark, CA",Point,"[-121.396835327148, 36.7481651306152, 10.5100002288818]"
31,Feature,nn00886908,0.7,"30 km WNW of Furnace Creek, California",1730053183571,1730053321501,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886908,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00886908&format=geojson,,,,,automatic,0,8,nn,00886908,",nn00886908,",",nn,",",origin,phase-data,",14.0,0.374,0.1421,273.99,ml,earthquake,"M 0.7 - 30 km WNW of Furnace Creek, California",Point,"[-117.1565, 36.5752, 4.3]"
32,Feature,ci40965808,1.02,"25 km SW of Ocotillo Wells, CA",1730052650290,1730060316218,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965808,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965808&format=geojson,,,,,reviewed,0,16,ci,40965808,",ci40965808,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",46.0,0.02755,0.17,49.0,ml,earthquake,"M 1.0 - 25 km SW of Ocotillo Wells, CA",Point,"[-116.3171667, 32.9796667, 8.23]"
33,Feature,us7000nni8,4.1,"187 km WSW of Baa, Indonesia",1730052283723,1730054402040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nni8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nni8&format=geojson,,,,,reviewed,0,259,us,7000nni8,",us7000nni8,",",us,",",origin,phase-data,",16.0,3.002,0.44,144.0,mb,earthquake,"M 4.1 - 187 km WSW of Baa, Indonesia",Point,"[121.5715, -11.5834, 10]"
34,Feature,hv74515327,1.85,"7 km S of Volcano, Hawaii",1730050572000,1730050744660,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515327,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515327&format=geojson,,,,,automatic,0,53,hv,74515327,",hv74515327,",",hv,",",origin,phase-data,",29.0,0.005245,0.189999998,70.0,ml,earthquake,"M 1.9 - 7 km S of Volcano, Hawaii",Point,"[-155.240325927734, 19.378833770752, 1.05999994277954]"
35,Feature,ak024du32zze,1.6,"43 km ENE of Chase, Alaska",1730050424429,1730050532627,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du32zze,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du32zze&format=geojson,,,,,automatic,0,39,ak,024du32zze,",ak024du32zze,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 1.6 - 43 km ENE of Chase, Alaska",Point,"[-149.2789, 62.5483, 43.8]"
36,Feature,ak024du2yug5,1.4,"14 km WNW of Susitna, Alaska",1730049246453,1730049324508,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du2yug5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du2yug5&format=geojson,,,,,automatic,0,30,ak,024du2yug5,",ak024du2yug5,",",ak,",",origin,phase-data,",,,0.19,,ml,earthquake,"M 1.4 - 14 km WNW of Susitna, Alaska",Point,"[-150.7411, 61.6151, 9]"
37,Feature,us7000nni1,4.9,"20 km SSE of Feke, Turkey",1730048830414,1730058557591,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nni1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nni1&format=geojson,7.0,3.1,,,reviewed,0,372,us,7000nni1,",us7000nni1,",",us,",",dyfi,moment-tensor,origin,phase-data,",88.0,0.285,0.68,56.0,mww,earthquake,"M 4.9 - 20 km SSE of Feke, Turkey",Point,"[35.9939, 37.6398, 10]"
38,Feature,hv74515282,1.98000002,"6 km S of Pāhala, Hawaii",1730048777010,1730048876370,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515282,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515282&format=geojson,,,,,automatic,0,60,hv,74515282,",hv74515282,",",hv,",",origin,phase-data,",34.0,0.1218,0.100000001,248.0,md,earthquake,"M 2.0 - 6 km S of Pāhala, Hawaii",Point,"[-155.482666015625, 19.1456661224365, 34.8300018310547]"
39,Feature,nc75079736,0.77,"10 km NW of The Geysers, CA",1730047877560,1730050036394,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079736,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079736&format=geojson,,,,,automatic,0,9,nc,75079736,",nc75079736,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.000943,0.01,122.0,md,earthquake,"M 0.8 - 10 km NW of The Geysers, CA",Point,"[-122.855667114258, 38.8274993896484, 2.69000005722046]"
40,Feature,hv74515262,1.70000005,"13 km E of Pāhala, Hawaii",1730047840980,1730047941010,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515262,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515262&format=geojson,,,,,automatic,0,44,hv,74515262,",hv74515262,",",hv,",",origin,phase-data,",40.0,0.06776,0.109999999,199.0,md,earthquake,"M 1.7 - 13 km E of Pāhala, Hawaii",Point,"[-155.34733581543, 19.1888332366943, 27.3999996185303]"
41,Feature,nc75079731,0.77,"4 km NNW of The Geysers, CA",1730047775300,1730049438326,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079731,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079731&format=geojson,,,,,automatic,0,9,nc,75079731,",nc75079731,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01062,0.02,92.0,md,earthquake,"M 0.8 - 4 km NNW of The Geysers, CA",Point,"[-122.78099822998, 38.8023338317871, 1.41999995708466]"
42,Feature,nc75079721,0.69,"5 km WNW of Cobb, CA",1730046251990,1730047337069,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079721,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079721&format=geojson,,,,,automatic,0,7,nc,75079721,",nc75079721,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.005491,0.01,130.0,md,earthquake,"M 0.7 - 5 km WNW of Cobb, CA",Point,"[-122.780830383301, 38.8383331298828, 1.66999995708466]"
43,Feature,ak024du2f80d,1.5,"54 km SSE of Denali National Park, Alaska",1730046171076,1730046307820,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du2f80d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du2f80d&format=geojson,,,,,automatic,0,35,ak,024du2f80d,",ak024du2f80d,",",ak,",",origin,phase-data,",,,0.63,,ml,earthquake,"M 1.5 - 54 km SSE of Denali National Park, Alaska",Point,"[-151.3998, 63.0756, 0.5]"
44,Feature,nc75079716,0.91,"1 km NE of The Geysers, CA",1730044752070,1730045837879,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079716&format=geojson,,,,,automatic,0,13,nc,75079716,",nc75079716,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.008546,0.02,82.0,md,earthquake,"M 0.9 - 1 km NE of The Geysers, CA",Point,"[-122.74683380127, 38.7864990234375, 2.20000004768372]"
45,Feature,us7000nnhw,4.6,"87 km SE of Pondaguitan, Philippines",1730044581504,1730046809040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nnhw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nnhw&format=geojson,,,,,reviewed,0,326,us,7000nnhw,",us7000nnhw,",",us,",",origin,phase-data,",28.0,1.709,0.91,185.0,mb,earthquake,"M 4.6 - 87 km SE of Pondaguitan, Philippines",Point,"[126.6937, 5.7602, 10.286]"
46,Feature,us7000nnhv,3.2,"8 km NNE of Montecristi, Ecuador",1730044398508,1730046354040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nnhv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nnhv&format=geojson,,,,,reviewed,0,158,us,7000nnhv,",us7000nnhv,",",us,",",origin,phase-data,",8.0,1.823,0.64,283.0,ml,earthquake,"M 3.2 - 8 km NNE of Montecristi, Ecuador",Point,"[-80.6206, -0.9813, 30.105]"
47,Feature,ak024du1y2tv,1.7,"22 km SE of Skwentna, Alaska",1730043772351,1730043939305,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du1y2tv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du1y2tv&format=geojson,,,,,automatic,0,44,ak,024du1y2tv,",ak024du1y2tv,",",ak,",",origin,phase-data,",,,0.86,,ml,earthquake,"M 1.7 - 22 km SE of Skwentna, Alaska",Point,"[-151.099, 61.847, 101.4]"
48,Feature,nc75079706,0.74,"2 km NNE of The Geysers, CA",1730042798120,1730044334686,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079706,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079706&format=geojson,,,,,automatic,0,8,nc,75079706,",nc75079706,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.004682,0.02,91.0,md,earthquake,"M 0.7 - 2 km NNE of The Geysers, CA",Point,"[-122.755668640137, 38.7971649169922, 1.77999997138977]"
49,Feature,nc75079701,1.82,"14 km SSW of Tres Pinos, CA",1730042771700,1730043736611,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079701,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079701&format=geojson,,,,,automatic,0,51,nc,75079701,",nc75079701,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",31.0,,0.14,63.0,md,earthquake,"M 1.8 - 14 km SSW of Tres Pinos, CA",Point,"[-121.364501953125, 36.6696662902832, 9.11999988555908]"
50,Feature,ci40965784,1.19,"2 km ESE of Idyllwild, CA",1730042431080,1730049705980,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965784,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965784&format=geojson,,,,,automatic,0,22,ci,40965784,",ci40965784,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",62.0,0.02148,0.14,24.0,ml,earthquake,"M 1.2 - 2 km ESE of Idyllwild, CA",Point,"[-116.6935, 33.735, 14.83]"
51,Feature,nn00886907,1.2,"37 km WNW of Furnace Creek, California",1730041904975,1730042040310,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886907,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00886907&format=geojson,,,,,automatic,0,22,nn,00886907,",nn00886907,",",nn,",",origin,phase-data,",15.0,0.453,0.3265,285.5,ml,earthquake,"M 1.2 - 37 km WNW of Furnace Creek, California",Point,"[-117.2542, 36.548, 1]"
52,Feature,ak024du1ehsw,2.1,"1 km SE of Diamond Ridge, Alaska",1730040675208,1730040813333,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du1ehsw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du1ehsw&format=geojson,,,,,automatic,0,68,ak,024du1ehsw,",ak024du1ehsw,",",ak,",",origin,phase-data,",,,0.76,,ml,earthquake,"M 2.1 - 1 km SE of Diamond Ridge, Alaska",Point,"[-151.5426, 59.6661, 176.6]"
53,Feature,pr2024301000,3.64,"143 km N of Hatillo, Puerto Rico",1730040606510,1730044289683,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2024301000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2024301000&format=geojson,,,,,reviewed,0,204,pr,2024301000,",pr2024301000,",",pr,",",origin,phase-data,",9.0,1.4274,0.29,257.0,md,earthquake,"M 3.6 - 143 km N of Hatillo, Puerto Rico",Point,"[-66.6826, 19.7723, 30]"
54,Feature,ci40965768,1.44,"1 km NNW of Lennox, CA",1730040222850,1730040610690,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965768,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965768&format=geojson,,,,,automatic,0,32,ci,40965768,",ci40965768,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.04501,0.17,74.0,ml,earthquake,"M 1.4 - 1 km NNW of Lennox, CA",Point,"[-118.3581667, 33.9455, 11.77]"
